BM,VM,BH,AS,DC,EN,AP,LN,GS,ME,GC,LH,PE,PS,MD1,LC,EE,AF,LB,MD2,CP,UT,R,US
5,21,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
111,110,0,11,0,1,0,2,0,0,0,0,1,0,3,0,0,0,0,0,44,2,0,0
45,97,0,12,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0
11,107,0,19,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,4,0,0
5,94,0,18,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0
17,53,0,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
9,13,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
4,21,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0
19,83,1,35,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,3,10,12,0,0
6,41,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,8,0,0
3,5,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,26,22,0,0
12,23,0,10,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,2,15,14,0,0
4,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,12,0,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,33,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,89,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
45,86,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
39,98,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
24,80,3,16,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0
16,38,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
11,25,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,31,0,37,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
45,52,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
84,79,1,22,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
17,45,3,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0
38,20,0,16,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,69,9,0,0
1,4,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,4,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,19,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,32,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,30,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
23,101,2,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,173,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
34,111,1,33,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
4,83,1,36,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,79,0,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,72,4,11,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0
51,43,2,13,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
49,46,5,14,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,3,6,0,0
31,17,0,13,0,0,0,1,2,4,5,0,0,0,0,0,0,0,0,0,24,6,0,0
1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,31,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,24,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,24,3,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,44,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,104,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
14,97,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,125,0,35,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
53,90,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
41,85,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
37,51,3,19,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0
98,56,4,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
91,35,1,17,0,1,0,1,3,0,3,0,0,0,0,0,0,0,0,1,6,11,0,0
11,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13,4,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,32,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,85,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,104,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,90,0,44,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,65,0,19,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
86,136,0,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
74,89,3,19,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
80,171,0,20,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
166,135,2,10,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,16,3,0,0
